e, e_dot, e_int, stamp, 
-0.5685900954156993, 0.09880775781885139, -0.1163026886320397, 304046000000, 
-0.5473849701146922, 0.10110947062949756, -0.11291285845559552, 304114000000, 
-0.5442501404066471, 0.08113318336350724, -0.11068168039580258, 304216000000, 
-0.4176083390907983, 0.4325887700796464, -0.1006162299741425, 304284000000, 
-0.3974116624507791, 0.48946159318622673, -0.09061800946321497, 304352000000, 
-0.38371460919861944, 0.11297909964059623, -0.07991564071601312, 304420000000, 
-0.362423796341389, 0.11662622036463362, -0.07623667119938583, 304488000000, 
-0.34725350644000774, 0.12153700919537232, -0.07289279413200107, 304556000000, 
-0.32354291426659465, 0.12960294024931449, -0.06888134780319942, 304658000000, 
-0.3326965657546812, 0.04852313561775512, -0.06689953243075224, 304726000000, 
-0.2116138455546599, 0.37309689570644916, -0.05785688837172905, 304794000000, 
-0.19380283198172576, 0.46297911257651814, -0.04920754955273779, 304862000000, 
-0.18604156742571476, 0.08524092709648379, -0.03943054966414003, 304930000000, 
-0.17571042870393527, 0.060308010925968304, -0.03703698854075839, 304998000000, 
-0.16196975248822998, 0.08023938312494927, -0.034914783241192, 305100000000, 
-0.15169976526176088, 0.08003554480724799, -0.03262532976359508, 305168000000, 
-0.16546124239092874, -0.011638299675662545, -0.031942050676061304, 305236000000, 
-0.1715022694953876, -0.06600834744542243, -0.03257755180987181, 305270000000, 
-0.05307084373381388, 0.3746346621903829, -0.026002290374675347, 305338000000, 
-0.049989069082247095, 0.40504400137713503, -0.018304145487429906, 305406000000, 
-0.041960852633631696, 0.03703330366727394, -0.00966805102997951, 305474000000, 
-0.03627725652046632, 0.0457060418726026, -0.008548478549089673, 305576000000, 
-0.020063001922464352, 0.07299283570389115, -0.0065534074051041575, 305678000000, 
-0.035058874861763734, 0.004061272195675277, -0.006093275553646293, 305746000000, 
-0.04677121420818464, -0.0890273742857343, -0.006792872732827515, 305814000000, 
0.05168066704862739, 0.2891318063679704, -0.0020099614680880655, 305916000000, 
0.05141359761861142, 0.3272827060893202, 0.0037548700306036112, 305984000000, 
0.05376638625351293, 0.006952397349618463, 0.010457376728050116, 306052000000, 
0.0534274577577043, 0.006712867130309608, 0.010573829441988576, 306120000000, 
0.06092020718315738, 0.0238460697654815, 0.011207603412958308, 306222000000, 
0.0663477693296648, 0.043067705239868324, 0.012046362284701765, 306256000000, 
0.049115474506227, -0.039349108923101284, 0.011758896734603279, 306324000000, 
0.0389694114508623, -0.09126119292934165, 0.010295510352450273, 306392000000, 
0.1113547225315874, 0.2074641600845347, 0.013295973899245113, 306460000000, 
0.11418889651225461, 0.2507316168713077, 0.017634202032980287, 306528000000, 
0.11293593888646924, 0.005270721182939475, 0.022565303862020752, 306596000000, 
0.11175824862424744, -0.008102159626690586, 0.02259220560153142, 306664000000, 
0.11412692995500584, 0.003969970228455318, 0.022588074497714834, 306732000000, 
0.11921145181850279, 0.024844010647517845, 0.023006442026517072, 306800000000, 
